,puzzle,difficulty,results,solution
46,...1.6..5.31..4...4...8..7....6....8......6...58...42......591..82.9....1.....7.2,1,"(3, 0)","[8, 7, 9, 1, 3, 6, 2, 4, 5, 5, 3, 1, 2, 7, 4, 8, 9, 6, 4, 2, 6, 5, 8, 9, 3, 7, 1, 9, 4, 7, 6, 5, 2, 1, 3, 8, 2, 1, 3, 9, 4, 8, 6, 5, 7, 6, 5, 8, 3, 1, 7, 4, 2, 9, 7, 6, 4, 8, 2, 5, 9, 1, 3, 3, 8, 2, 7, 9, 1, 5, 6, 4, 1, 9, 5, 4, 6, 3, 7, 8, 2]"
47,4..8.7......6...7576.49..2..2.5.....64..8.2..1.3.6..5....3.....9......1....7..6..,1,"(2, 0)","[4, 5, 2, 8, 3, 7, 9, 6, 1, 3, 9, 8, 6, 2, 1, 4, 7, 5, 7, 6, 1, 4, 9, 5, 3, 2, 8, 8, 2, 9, 5, 7, 4, 1, 3, 6, 6, 4, 5, 1, 8, 3, 2, 9, 7, 1, 7, 3, 9, 6, 2, 8, 5, 4, 2, 1, 6, 3, 5, 8, 7, 4, 9, 9, 8, 7, 2, 4, 6, 5, 1, 3, 5, 3, 4, 7, 1, 9, 6, 8, 2]"
48,6.......8.32....1.....5..42.8..7....5193.........2.........46......97..53..6...94,1,"(3, 0)","[6, 4, 5, 2, 1, 3, 9, 7, 8, 7, 3, 2, 8, 4, 9, 5, 1, 6, 1, 9, 8, 7, 5, 6, 3, 4, 2, 2, 8, 3, 4, 7, 5, 1, 6, 9, 5, 1, 9, 3, 6, 8, 4, 2, 7, 4, 7, 6, 9, 2, 1, 8, 5, 3, 9, 2, 7, 5, 3, 4, 6, 8, 1, 8, 6, 4, 1, 9, 7, 2, 3, 5, 3, 5, 1, 6, 8, 2, 7, 9, 4]"
49,....3.5.7.....219......8.631....6...5.31........289....58.1..4.......93.2.7......,1,"(3, 0)","[8, 9, 6, 4, 3, 1, 5, 2, 7, 3, 4, 5, 7, 6, 2, 1, 9, 8, 7, 1, 2, 5, 9, 8, 4, 6, 3, 1, 8, 9, 3, 5, 6, 2, 7, 4, 5, 2, 3, 1, 7, 4, 6, 8, 9, 6, 7, 4, 2, 8, 9, 3, 5, 1, 9, 5, 8, 6, 1, 3, 7, 4, 2, 4, 6, 1, 8, 2, 7, 9, 3, 5, 2, 3, 7, 9, 4, 5, 8, 1, 6]"
50,.9.5..8......6..171....9.34.6..8......1..2...2..15....51....4.8.3.....76..8.....3,1,"(3, 0)","[7, 9, 4, 5, 3, 1, 8, 6, 2, 3, 5, 2, 4, 6, 8, 9, 1, 7, 1, 8, 6, 2, 7, 9, 5, 3, 4, 9, 6, 5, 7, 8, 4, 3, 2, 1, 8, 7, 1, 3, 9, 2, 6, 4, 5, 2, 4, 3, 1, 5, 6, 7, 8, 9, 5, 1, 7, 6, 2, 3, 4, 9, 8, 4, 3, 9, 8, 1, 5, 2, 7, 6, 6, 2, 8, 9, 4, 7, 1, 5, 3]"
51,...3.184............2..5..33..1.9....4.....6..78....51.9......41..7.8......5..78.,1,"(3, 0)","[5, 6, 9, 3, 2, 1, 8, 4, 7, 4, 8, 3, 9, 7, 6, 1, 2, 5, 7, 1, 2, 4, 8, 5, 6, 9, 3, 3, 2, 5, 1, 6, 9, 4, 7, 8, 9, 4, 1, 8, 5, 7, 3, 6, 2, 6, 7, 8, 2, 4, 3, 9, 5, 1, 8, 9, 7, 6, 3, 2, 5, 1, 4, 1, 5, 4, 7, 9, 8, 2, 3, 6, 2, 3, 6, 5, 1, 4, 7, 8, 9]"
52,.7....1.53..61..........3.6..6.4.28.25...6....1..37...1...8......85....3.........,1,"(2, 0)","[6, 7, 9, 3, 2, 8, 1, 4, 5, 3, 2, 5, 6, 1, 4, 7, 9, 8, 4, 8, 1, 7, 5, 9, 3, 2, 6, 9, 3, 6, 1, 4, 5, 2, 8, 7, 2, 5, 7, 8, 9, 6, 4, 3, 1, 8, 1, 4, 2, 3, 7, 6, 5, 9, 1, 6, 2, 9, 8, 3, 5, 7, 4, 7, 4, 8, 5, 6, 2, 9, 1, 3, 5, 9, 3, 4, 7, 1, 8, 6, 2]"
53,...2.6...7.49..2.6..9.........675..1......76..3....9...83...57......46......2...9,1,"(4, 0)","[3, 5, 8, 2, 4, 6, 1, 9, 7, 7, 1, 4, 9, 3, 8, 2, 5, 6, 2, 6, 9, 5, 1, 7, 8, 3, 4, 8, 9, 2, 6, 7, 5, 3, 4, 1, 1, 4, 5, 3, 9, 2, 7, 6, 8, 6, 3, 7, 4, 8, 1, 9, 2, 5, 4, 8, 3, 1, 6, 9, 5, 7, 2, 9, 2, 1, 7, 5, 4, 6, 8, 3, 5, 7, 6, 8, 2, 3, 4, 1, 9]"
54,..1........861...4592..48.1..92........459..7...7..5.3.6...8.2....9...........3..,1,"(4, 0)","[6, 4, 1, 8, 9, 5, 7, 3, 2, 3, 7, 8, 6, 1, 2, 9, 5, 4, 5, 9, 2, 3, 7, 4, 8, 6, 1, 7, 5, 9, 2, 8, 3, 4, 1, 6, 1, 3, 6, 4, 5, 9, 2, 8, 7, 2, 8, 4, 7, 6, 1, 5, 9, 3, 4, 6, 7, 5, 3, 8, 1, 2, 9, 8, 1, 3, 9, 2, 7, 6, 4, 5, 9, 2, 5, 1, 4, 6, 3, 7, 8]"
55,.6..8.7....1.2.4.........6..5.8..1......4........5.8.963....5..2..7....8.97..1..3,1,"(2, 0)","[4, 6, 2, 9, 8, 5, 7, 3, 1, 9, 7, 1, 6, 2, 3, 4, 8, 5, 5, 8, 3, 4, 1, 7, 9, 6, 2, 3, 5, 9, 8, 7, 6, 1, 2, 4, 7, 2, 8, 1, 4, 9, 3, 5, 6, 1, 4, 6, 3, 5, 2, 8, 7, 9, 6, 3, 4, 2, 9, 8, 5, 1, 7, 2, 1, 5, 7, 3, 4, 6, 9, 8, 8, 9, 7, 5, 6, 1, 2, 4, 3]"
56,.5..27.8....38...4..29..........1.7621.4......7...51.9.........13.......4.5.....1,1,"(2, 0)","[6, 5, 4, 1, 2, 7, 9, 8, 3, 7, 9, 1, 3, 8, 6, 5, 2, 4, 3, 8, 2, 9, 5, 4, 6, 1, 7, 5, 4, 9, 8, 3, 1, 2, 7, 6, 2, 1, 6, 4, 7, 9, 3, 5, 8, 8, 7, 3, 2, 6, 5, 1, 4, 9, 9, 6, 7, 5, 1, 8, 4, 3, 2, 1, 3, 8, 6, 4, 2, 7, 9, 5, 4, 2, 5, 7, 9, 3, 8, 6, 1]"
57,7.....4...8.6..9...1.4....8.........2..96..3.....13.67..5.9.....4.....7.139.7....,1,"(2, 0)","[7, 2, 3, 1, 8, 9, 4, 5, 6, 5, 8, 4, 6, 2, 7, 9, 1, 3, 9, 1, 6, 4, 3, 5, 7, 2, 8, 3, 6, 1, 7, 4, 2, 8, 9, 5, 2, 5, 7, 9, 6, 8, 1, 3, 4, 4, 9, 8, 5, 1, 3, 2, 6, 7, 6, 7, 5, 2, 9, 4, 3, 8, 1, 8, 4, 2, 3, 5, 1, 6, 7, 9, 1, 3, 9, 8, 7, 6, 5, 4, 2]"
58,6...91.8.....53..4...7..5....9..617.81.......7.6.....5.8.63...1....19...32.....5.,1,"(3, 0)","[6, 5, 3, 4, 9, 1, 2, 8, 7, 1, 7, 8, 2, 5, 3, 9, 6, 4, 2, 9, 4, 7, 6, 8, 5, 1, 3, 5, 4, 9, 3, 8, 6, 1, 7, 2, 8, 1, 2, 9, 7, 5, 4, 3, 6, 7, 3, 6, 1, 2, 4, 8, 9, 5, 9, 8, 5, 6, 3, 2, 7, 4, 1, 4, 6, 7, 5, 1, 9, 3, 2, 8, 3, 2, 1, 8, 4, 7, 6, 5, 9]"
59,73....5.8...9..2.....3.....6.2.5....34...2..1..7......21......7...8..41...57....3,1,"(3, 0)","[7, 3, 9, 2, 6, 1, 5, 4, 8, 4, 8, 1, 9, 7, 5, 2, 3, 6, 5, 2, 6, 3, 4, 8, 1, 7, 9, 6, 9, 2, 1, 5, 7, 3, 8, 4, 3, 4, 8, 6, 9, 2, 7, 5, 1, 1, 5, 7, 4, 8, 3, 6, 9, 2, 2, 1, 4, 5, 3, 9, 8, 6, 7, 9, 7, 3, 8, 2, 6, 4, 1, 5, 8, 6, 5, 7, 1, 4, 9, 2, 3]"
60,.4...5....7.214..8..2......3.4....8...1.4....5...6...9.5.6..3..6.....1....7.....5,1,"(3, 0)","[8, 4, 6, 3, 7, 5, 9, 2, 1, 9, 7, 5, 2, 1, 4, 6, 3, 8, 1, 3, 2, 8, 9, 6, 5, 4, 7, 3, 9, 4, 1, 5, 2, 7, 8, 6, 7, 6, 1, 9, 4, 8, 2, 5, 3, 5, 2, 8, 7, 6, 3, 4, 1, 9, 4, 5, 9, 6, 8, 1, 3, 7, 2, 6, 8, 3, 5, 2, 7, 1, 9, 4, 2, 1, 7, 4, 3, 9, 8, 6, 5]"
61,....3..4.5.......8..3.59...2.9...5.6...3.........42.....179....3......8.8...1.6..,1,"(3, 0)","[9, 2, 6, 8, 3, 1, 7, 4, 5, 5, 1, 4, 2, 7, 6, 3, 9, 8, 7, 8, 3, 4, 5, 9, 1, 6, 2, 2, 4, 9, 1, 8, 7, 5, 3, 6, 1, 7, 8, 3, 6, 5, 4, 2, 9, 6, 3, 5, 9, 4, 2, 8, 1, 7, 4, 6, 1, 7, 9, 8, 2, 5, 3, 3, 5, 7, 6, 2, 4, 9, 8, 1, 8, 9, 2, 5, 1, 3, 6, 7, 4]"
62,1..7....4.......6..7..8.3..8....9..13.2............42...3..82...4...5...9..1.3.7.,1,"(5, 0)","[1, 3, 5, 7, 6, 2, 9, 8, 4, 2, 8, 9, 3, 5, 4, 1, 6, 7, 4, 7, 6, 9, 8, 1, 3, 5, 2, 8, 6, 4, 5, 2, 9, 7, 3, 1, 3, 5, 2, 4, 1, 7, 6, 9, 8, 7, 9, 1, 8, 3, 6, 4, 2, 5, 5, 1, 3, 6, 7, 8, 2, 4, 9, 6, 4, 7, 2, 9, 5, 8, 1, 3, 9, 2, 8, 1, 4, 3, 5, 7, 6]"
63,.8.....5...9......63..9.1...93....4......5..24.2....96..42.1.6...8.5.4......6..7.,1,"(4, 0)","[1, 8, 7, 6, 3, 4, 2, 5, 9, 2, 4, 9, 5, 1, 8, 6, 3, 7, 6, 3, 5, 7, 9, 2, 1, 8, 4, 5, 9, 3, 1, 2, 6, 7, 4, 8, 8, 7, 6, 9, 4, 5, 3, 1, 2, 4, 1, 2, 8, 7, 3, 5, 9, 6, 7, 5, 4, 2, 8, 1, 9, 6, 3, 9, 6, 8, 3, 5, 7, 4, 2, 1, 3, 2, 1, 4, 6, 9, 8, 7, 5]"
64,...61......28.35..8.3.941.......9761......9..4....13.......6...31.....2.987....3.,1,"(2, 0)","[7, 9, 4, 6, 1, 5, 2, 8, 3, 1, 6, 2, 8, 7, 3, 5, 9, 4, 8, 5, 3, 2, 9, 4, 1, 7, 6, 5, 3, 8, 4, 2, 9, 7, 6, 1, 6, 7, 1, 3, 5, 8, 9, 4, 2, 4, 2, 9, 7, 6, 1, 3, 5, 8, 2, 4, 5, 9, 3, 6, 8, 1, 7, 3, 1, 6, 5, 8, 7, 4, 2, 9, 9, 8, 7, 1, 4, 2, 6, 3, 5]"
65,...6..4.2.2...89.......4.5.29.8.5.6.3..........84.6........914..4...753.9..1..7..,1,"(2, 0)","[5, 7, 3, 6, 9, 1, 4, 8, 2, 4, 2, 6, 3, 5, 8, 9, 7, 1, 8, 1, 9, 7, 2, 4, 6, 5, 3, 2, 9, 7, 8, 1, 5, 3, 6, 4, 3, 6, 4, 9, 7, 2, 8, 1, 5, 1, 5, 8, 4, 3, 6, 2, 9, 7, 7, 3, 2, 5, 6, 9, 1, 4, 8, 6, 4, 1, 2, 8, 7, 5, 3, 9, 9, 8, 5, 1, 4, 3, 7, 2, 6]"
66,......39.17.........35..2.89.5...7.......3.6..3.49.....8...45...5.9.74.2.4.....87,1,"(3, 0)","[5, 2, 4, 6, 7, 8, 3, 9, 1, 1, 7, 8, 2, 3, 9, 6, 5, 4, 6, 9, 3, 5, 4, 1, 2, 7, 8, 9, 6, 5, 8, 1, 2, 7, 4, 3, 4, 1, 2, 7, 5, 3, 8, 6, 9, 8, 3, 7, 4, 9, 6, 1, 2, 5, 7, 8, 9, 1, 2, 4, 5, 3, 6, 3, 5, 6, 9, 8, 7, 4, 1, 2, 2, 4, 1, 3, 6, 5, 9, 8, 7]"
67,...6..3.......15....48.3...1......9..9..468...7.1......47.25...3..7.....5.8.6.2..,1,"(2, 0)","[7, 5, 1, 6, 9, 2, 3, 4, 8, 8, 3, 9, 4, 7, 1, 5, 6, 2, 6, 2, 4, 8, 5, 3, 7, 1, 9, 1, 8, 6, 2, 3, 7, 4, 9, 5, 2, 9, 3, 5, 4, 6, 8, 7, 1, 4, 7, 5, 1, 8, 9, 6, 2, 3, 9, 4, 7, 3, 2, 5, 1, 8, 6, 3, 6, 2, 7, 1, 8, 9, 5, 4, 5, 1, 8, 9, 6, 4, 2, 3, 7]"
68,.......5......62..69.13..4.1.98..6..2..6.....7.....3.43......8...249............1,1,"(3, 0)","[8, 2, 3, 9, 7, 4, 1, 5, 6, 4, 7, 1, 5, 8, 6, 2, 3, 9, 6, 9, 5, 1, 3, 2, 8, 4, 7, 1, 5, 9, 8, 4, 3, 6, 7, 2, 2, 3, 4, 6, 1, 7, 5, 9, 8, 7, 6, 8, 2, 5, 9, 3, 1, 4, 3, 4, 6, 7, 2, 1, 9, 8, 5, 5, 1, 2, 4, 9, 8, 7, 6, 3, 9, 8, 7, 3, 6, 5, 4, 2, 1]"
69,....32...9.25...4..15.4...985....6..46...87...........183.5.......8..47.........1,1,"(2, 0)","[6, 4, 8, 9, 3, 2, 5, 1, 7, 9, 7, 2, 5, 8, 1, 3, 4, 6, 3, 1, 5, 6, 4, 7, 2, 8, 9, 8, 5, 9, 1, 7, 3, 6, 2, 4, 4, 6, 1, 2, 9, 8, 7, 3, 5, 2, 3, 7, 4, 6, 5, 1, 9, 8, 1, 8, 3, 7, 5, 4, 9, 6, 2, 5, 2, 6, 8, 1, 9, 4, 7, 3, 7, 9, 4, 3, 2, 6, 8, 5, 1]"
70,......3....31...27.5....61.....278....9.8..4.23....7..3.5..4..9.8.7.6......5.....,1,"(4, 0)","[1, 2, 6, 9, 7, 8, 3, 5, 4, 8, 4, 3, 1, 6, 5, 9, 2, 7, 9, 5, 7, 2, 4, 3, 6, 1, 8, 5, 1, 4, 6, 2, 7, 8, 9, 3, 6, 7, 9, 3, 8, 1, 5, 4, 2, 2, 3, 8, 4, 5, 9, 7, 6, 1, 3, 6, 5, 8, 1, 4, 2, 7, 9, 4, 8, 2, 7, 9, 6, 1, 3, 5, 7, 9, 1, 5, 3, 2, 4, 8, 6]"
71,..75.....9...8....2....9.1..8..637.......8.....41.2....45........1..6.5.76....8.2,1,"(3, 0)","[4, 3, 7, 5, 2, 1, 6, 9, 8, 9, 1, 6, 3, 8, 4, 2, 7, 5, 2, 5, 8, 6, 7, 9, 3, 1, 4, 5, 8, 2, 9, 6, 3, 7, 4, 1, 1, 9, 3, 7, 4, 8, 5, 2, 6, 6, 7, 4, 1, 5, 2, 9, 8, 3, 8, 4, 5, 2, 3, 7, 1, 6, 9, 3, 2, 1, 8, 9, 6, 4, 5, 7, 7, 6, 9, 4, 1, 5, 8, 3, 2]"
72,..4...9.5........17..3..6...3.1....9...5...36..2.6.4...9..7....6...298..2.1......,1,"(3, 0)","[3, 6, 4, 2, 1, 8, 9, 7, 5, 5, 2, 8, 7, 9, 6, 3, 4, 1, 7, 1, 9, 3, 5, 4, 6, 2, 8, 8, 3, 6, 1, 4, 7, 2, 5, 9, 9, 4, 7, 5, 8, 2, 1, 3, 6, 1, 5, 2, 9, 6, 3, 4, 8, 7, 4, 9, 3, 8, 7, 1, 5, 6, 2, 6, 7, 5, 4, 2, 9, 8, 1, 3, 2, 8, 1, 6, 3, 5, 7, 9, 4]"
73,............89.657....13.2.............9.827..965.....9......4.74....3..1.87.2...,1,"(3, 0)","[6, 8, 9, 2, 5, 7, 4, 1, 3, 3, 2, 1, 8, 9, 4, 6, 5, 7, 4, 5, 7, 6, 1, 3, 9, 2, 8, 8, 7, 3, 4, 2, 6, 1, 9, 5, 5, 1, 4, 9, 3, 8, 2, 7, 6, 2, 9, 6, 5, 7, 1, 8, 3, 4, 9, 6, 2, 3, 8, 5, 7, 4, 1, 7, 4, 5, 1, 6, 9, 3, 8, 2, 1, 3, 8, 7, 4, 2, 5, 6, 9]"
74,.5...8......574...6..........38.29...4.....857.2.5..6...5....9.....263...61...8..,1,"(3, 0)","[4, 5, 9, 6, 3, 8, 7, 1, 2, 1, 2, 8, 5, 7, 4, 6, 3, 9, 6, 3, 7, 2, 9, 1, 5, 4, 8, 5, 1, 3, 8, 6, 2, 9, 7, 4, 9, 4, 6, 3, 1, 7, 2, 8, 5, 7, 8, 2, 4, 5, 9, 1, 6, 3, 2, 7, 5, 1, 8, 3, 4, 9, 6, 8, 9, 4, 7, 2, 6, 3, 5, 1, 3, 6, 1, 9, 4, 5, 8, 2, 7]"
75,8..5..7...37.8.9.24..1...3......9....2..5.6.7..12.......9....8..1.6..........7...,1,"(1, 0)","[8, 6, 2, 5, 9, 3, 7, 1, 4, 1, 3, 7, 4, 8, 6, 9, 5, 2, 4, 9, 5, 1, 7, 2, 8, 3, 6, 5, 4, 6, 7, 3, 9, 1, 2, 8, 9, 2, 3, 8, 5, 1, 6, 4, 7, 7, 8, 1, 2, 6, 4, 3, 9, 5, 6, 7, 9, 3, 4, 5, 2, 8, 1, 3, 1, 4, 6, 2, 8, 5, 7, 9, 2, 5, 8, 9, 1, 7, 4, 6, 3]"
76,1........4...69.7....2.3.8..2.......5.......38..1.64...65.....9....857.........2.,1,"(4, 0)","[1, 8, 6, 7, 5, 4, 9, 3, 2, 4, 3, 2, 8, 6, 9, 5, 7, 1, 9, 5, 7, 2, 1, 3, 6, 8, 4, 6, 2, 4, 5, 3, 7, 1, 9, 8, 5, 7, 1, 9, 4, 8, 2, 6, 3, 8, 9, 3, 1, 2, 6, 4, 5, 7, 3, 6, 5, 4, 7, 2, 8, 1, 9, 2, 1, 9, 3, 8, 5, 7, 4, 6, 7, 4, 8, 6, 9, 1, 3, 2, 5]"
77,.5.....1.6.3..9........869.....83......1..78..19..2...7.......2.8..5..4..3....1.5,1,"(4, 0)","[9, 5, 8, 6, 2, 4, 3, 1, 7, 6, 4, 3, 7, 1, 9, 2, 5, 8, 2, 7, 1, 5, 3, 8, 6, 9, 4, 5, 6, 7, 9, 8, 3, 4, 2, 1, 3, 2, 4, 1, 6, 5, 7, 8, 9, 8, 1, 9, 4, 7, 2, 5, 3, 6, 7, 9, 5, 3, 4, 1, 8, 6, 2, 1, 8, 6, 2, 5, 7, 9, 4, 3, 4, 3, 2, 8, 9, 6, 1, 7, 5]"
78,..7...9.....5.8.......4.5.2..4..16..35.....2.6..82.....4.....3.9.16........18...5,1,"(2, 0)","[5, 6, 7, 2, 1, 3, 9, 4, 8, 4, 9, 2, 5, 6, 8, 3, 1, 7, 1, 8, 3, 7, 4, 9, 5, 6, 2, 2, 7, 4, 3, 5, 1, 6, 8, 9, 3, 5, 8, 4, 9, 6, 7, 2, 1, 6, 1, 9, 8, 2, 7, 4, 5, 3, 8, 4, 5, 9, 7, 2, 1, 3, 6, 9, 2, 1, 6, 3, 5, 8, 7, 4, 7, 3, 6, 1, 8, 4, 2, 9, 5]"
79,...8.7.43....6..7.6....5...5....1.3.16....9...7..........9.8.5..5.63.19.8.4......,1,"(2, 0)","[9, 2, 5, 8, 1, 7, 6, 4, 3, 4, 8, 1, 3, 6, 9, 5, 7, 2, 6, 3, 7, 4, 2, 5, 8, 1, 9, 5, 4, 9, 2, 8, 1, 7, 3, 6, 1, 6, 8, 7, 4, 3, 9, 2, 5, 2, 7, 3, 5, 9, 6, 4, 8, 1, 3, 1, 6, 9, 7, 8, 2, 5, 4, 7, 5, 2, 6, 3, 4, 1, 9, 8, 8, 9, 4, 1, 5, 2, 3, 6, 7]"
80,...4...18....3...4.......6.14.7...2..9........57..8...3.2.56.4...6....824..38....,1,"(3, 0)","[7, 3, 5, 4, 6, 9, 2, 1, 8, 8, 6, 1, 2, 3, 5, 7, 9, 4, 9, 2, 4, 8, 7, 1, 5, 6, 3, 1, 4, 8, 7, 9, 3, 6, 2, 5, 6, 9, 3, 5, 2, 4, 8, 7, 1, 2, 5, 7, 6, 1, 8, 4, 3, 9, 3, 8, 2, 1, 5, 6, 9, 4, 7, 5, 1, 6, 9, 4, 7, 3, 8, 2, 4, 7, 9, 3, 8, 2, 1, 5, 6]"
81,....1.82...8....1..32..47......53......27....4..8...6..59.6..8..8.........6.3...9,1,"(2, 0)","[9, 7, 4, 6, 1, 5, 8, 2, 3, 5, 6, 8, 3, 2, 7, 9, 1, 4, 1, 3, 2, 9, 8, 4, 7, 5, 6, 6, 1, 7, 4, 5, 3, 2, 9, 8, 8, 9, 3, 2, 7, 6, 1, 4, 5, 4, 2, 5, 8, 9, 1, 3, 6, 7, 3, 5, 9, 7, 6, 2, 4, 8, 1, 7, 8, 1, 5, 4, 9, 6, 3, 2, 2, 4, 6, 1, 3, 8, 5, 7, 9]"
82,.4.8..31.....3.......9...27.962....132.4.1..9.....7....65.2..4..........1...5..3.,1,"(3, 0)","[6, 4, 9, 8, 7, 2, 3, 1, 5, 2, 7, 1, 6, 3, 5, 8, 9, 4, 8, 5, 3, 9, 1, 4, 6, 2, 7, 5, 9, 6, 2, 8, 3, 4, 7, 1, 3, 2, 7, 4, 6, 1, 5, 8, 9, 4, 1, 8, 5, 9, 7, 2, 6, 3, 7, 6, 5, 3, 2, 9, 1, 4, 8, 9, 3, 2, 1, 4, 8, 7, 5, 6, 1, 8, 4, 7, 5, 6, 9, 3, 2]"
83,..4..63....5....2.....13..869..2...........51....49.....79......6...54...3....6.9,1,"(4, 0)","[1, 8, 4, 2, 5, 6, 3, 9, 7, 3, 7, 5, 4, 9, 8, 1, 2, 6, 9, 2, 6, 7, 1, 3, 5, 4, 8, 6, 9, 3, 5, 2, 1, 7, 8, 4, 2, 4, 8, 6, 3, 7, 9, 5, 1, 7, 5, 1, 8, 4, 9, 2, 6, 3, 4, 1, 7, 9, 6, 2, 8, 3, 5, 8, 6, 9, 3, 7, 5, 4, 1, 2, 5, 3, 2, 1, 8, 4, 6, 7, 9]"
84,..8.124....5...7.27..6....85.....8....3..8..7.1..253..4...6....1...9..5..........,1,"(2, 0)","[9, 3, 8, 7, 1, 2, 4, 6, 5, 6, 4, 5, 8, 3, 9, 7, 1, 2, 7, 2, 1, 6, 5, 4, 9, 3, 8, 5, 9, 4, 3, 7, 6, 8, 2, 1, 2, 6, 3, 1, 4, 8, 5, 9, 7, 8, 1, 7, 9, 2, 5, 3, 4, 6, 4, 7, 2, 5, 6, 3, 1, 8, 9, 1, 8, 6, 4, 9, 7, 2, 5, 3, 3, 5, 9, 2, 8, 1, 6, 7, 4]"
85,...9....4.724.......457.9..23..54..1....2..65..........8....4.9...2.3.5......87..,1,"(2, 0)","[8, 1, 5, 9, 3, 2, 6, 7, 4, 9, 7, 2, 4, 8, 6, 5, 1, 3, 3, 6, 4, 5, 7, 1, 9, 8, 2, 2, 3, 7, 6, 5, 4, 8, 9, 1, 4, 9, 1, 8, 2, 7, 3, 6, 5, 6, 5, 8, 3, 1, 9, 2, 4, 7, 1, 8, 3, 7, 6, 5, 4, 2, 9, 7, 4, 6, 2, 9, 3, 1, 5, 8, 5, 2, 9, 1, 4, 8, 7, 3, 6]"
86,...7.3.2........46.91..4.5...5.3....8.6......23......1.2...9..4...6....85..4..93.,1,"(4, 0)","[6, 5, 4, 7, 8, 3, 1, 2, 9, 3, 8, 2, 5, 9, 1, 7, 4, 6, 7, 9, 1, 2, 6, 4, 8, 5, 3, 4, 1, 5, 9, 3, 6, 2, 8, 7, 8, 7, 6, 1, 4, 2, 3, 9, 5, 2, 3, 9, 8, 7, 5, 4, 6, 1, 1, 2, 8, 3, 5, 9, 6, 7, 4, 9, 4, 3, 6, 2, 7, 5, 1, 8, 5, 6, 7, 4, 1, 8, 9, 3, 2]"
87,............61.452..57.2..9.9.8.....2.4.7.3.....5...9.8...36.........5.4...1.9.6.,1,"(2, 0)","[4, 2, 6, 3, 9, 5, 1, 7, 8, 9, 7, 3, 6, 1, 8, 4, 5, 2, 1, 8, 5, 7, 4, 2, 6, 3, 9, 5, 9, 7, 8, 6, 3, 2, 4, 1, 2, 6, 4, 9, 7, 1, 3, 8, 5, 3, 1, 8, 5, 2, 4, 7, 9, 6, 8, 5, 1, 4, 3, 6, 9, 2, 7, 6, 3, 9, 2, 8, 7, 5, 1, 4, 7, 4, 2, 1, 5, 9, 8, 6, 3]"
88,...8.92...4......3.8..6.57..5....6....67.8.5.4.1..5.....93.....36...1....1....8.9,1,"(4, 0)","[1, 7, 5, 8, 3, 9, 2, 4, 6, 6, 4, 2, 1, 5, 7, 9, 8, 3, 9, 8, 3, 4, 6, 2, 5, 7, 1, 8, 5, 7, 9, 4, 3, 6, 1, 2, 2, 9, 6, 7, 1, 8, 3, 5, 4, 4, 3, 1, 6, 2, 5, 7, 9, 8, 7, 2, 9, 3, 8, 4, 1, 6, 5, 3, 6, 8, 5, 9, 1, 4, 2, 7, 5, 1, 4, 2, 7, 6, 8, 3, 9]"
89,...2..6.......5..9.....1.....8.1.3....76......95..2...3.......7.1.8.652..2...41..,1,"(3, 0)","[5, 4, 1, 2, 9, 3, 6, 7, 8, 6, 7, 3, 4, 8, 5, 2, 1, 9, 9, 8, 2, 7, 6, 1, 4, 3, 5, 4, 6, 8, 9, 1, 7, 3, 5, 2, 2, 3, 7, 6, 5, 8, 9, 4, 1, 1, 9, 5, 3, 4, 2, 7, 8, 6, 3, 5, 4, 1, 2, 9, 8, 6, 7, 7, 1, 9, 8, 3, 6, 5, 2, 4, 8, 2, 6, 5, 7, 4, 1, 9, 3]"
90,...7...6.2....49.8..1....4.9.5...6.7...2...3.48.......5.864.....1.5.7.....9.8....,1,"(3, 0)","[8, 9, 4, 7, 2, 1, 5, 6, 3, 2, 5, 7, 3, 6, 4, 9, 1, 8, 3, 6, 1, 8, 9, 5, 7, 4, 2, 9, 2, 5, 4, 1, 3, 6, 8, 7, 1, 7, 6, 2, 5, 8, 4, 3, 9, 4, 8, 3, 9, 7, 6, 1, 2, 5, 5, 3, 8, 6, 4, 9, 2, 7, 1, 6, 1, 2, 5, 3, 7, 8, 9, 4, 7, 4, 9, 1, 8, 2, 3, 5, 6]"
91,.....61...12......5....4........5..74.52..6......8.24..73.1......8.4..3..2.76..1.,1,"(2, 0)","[8, 4, 9, 3, 7, 6, 1, 5, 2, 7, 1, 2, 8, 5, 9, 4, 6, 3, 5, 3, 6, 1, 2, 4, 8, 7, 9, 2, 6, 1, 4, 9, 5, 3, 8, 7, 4, 8, 5, 2, 3, 7, 6, 9, 1, 3, 9, 7, 6, 8, 1, 2, 4, 5, 6, 7, 3, 5, 1, 8, 9, 2, 4, 1, 5, 8, 9, 4, 2, 7, 3, 6, 9, 2, 4, 7, 6, 3, 5, 1, 8]"
92,.4....3..5..1.....3.1.7.....6.7....99.....2..13...........5..7..94..36.8....8...2,1,"(4, 0)","[8, 4, 9, 5, 6, 2, 3, 1, 7, 5, 7, 6, 1, 3, 8, 9, 2, 4, 3, 2, 1, 9, 7, 4, 5, 8, 6, 4, 6, 5, 7, 2, 1, 8, 3, 9, 9, 8, 7, 3, 4, 5, 2, 6, 1, 1, 3, 2, 8, 9, 6, 7, 4, 5, 2, 1, 8, 6, 5, 9, 4, 7, 3, 7, 9, 4, 2, 1, 3, 6, 5, 8, 6, 5, 3, 4, 8, 7, 1, 9, 2]"
